Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
360,33851729,J Med Virol,2021,Network dynamic model of epidemic transmission introducing a heterogeneous control factor,10.1002/jmv.27025,"Sheng H, Wu L, Wu T, Peng B. Network dynamic model of epidemic transmission introducing a heterogeneous control factor. Journal of Medical Virology. 2021;93(12):6496-6505. doi:10.1002/jmv.27025","Sheng H, Wu L, Wu T, Peng B.",Model; Epidemic; Transmission,We propose a network dynamics model of epidemic transmission introducing a heterogeneous control factor,Understanding Epidemic Spread,,,Theoretical,General,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
361,33787909,JAMA Netw Open,2021,"Simulation-Based Estimation of SARS-CoV-2 Infections Associated With School Closures and Community-Based Nonpharmaceutical Interventions in Ontario, Canada",10.1001/jamanetworkopen.2021.3793,"Naimark D, Mishra S, Barrett K, et al. Simulation-Based Estimation of SARS-CoV-2 Infections Associated With School Closures and Community-Based Nonpharmaceutical Interventions in Ontario, Canada. JAMA Netw Open. 2021;4(3):e213793. doi:10.1001/jamanetworkopen.2021.3793","Naimark D, Mishra S, Barrett K, Khan YA, Mac S, Ximenes R, Sander B.",Simulation; Infections; Modelling; Agent-based; Transmission,To estimate the association of schools being open or closed with the number of COVID-19 cases compared with community-based nonpharmaceutical interventions,Intervention Impact Assessment,Ontario (Canada),,Canada,General,SARS-CoV-2,Other/Unknown,1.00E+06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
362,33887314,Math Biosci,2021,Mathematical modeling of spatio-temporal population dynamics and application to epidemic spreading,10.1016/j.mbs.2021.108619,"Winkelmann S, Zonker J, Schütte C, Conrad ND. Mathematical modeling of spatio-temporal population dynamics and application to epidemic spreading. Mathematical Biosciences. 2021;336:108619. doi:10.1016/j.mbs.2021.108619","Winkelmann S, Zonker J, Schütte C, Conrad ND.",Modeling; Epidemic; Agent-based,Modeling of spatio-temporal population dynamics,Understanding Epidemic Spread,,,Theoretical,General,SARS-CoV-2,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
363,32984500,Appl Netw Sci,2020,A multi-agent model to study epidemic spreading and vaccination strategies in an urban-like environment,10.1007/s41109-020-00299-7,"Nadini M, Zino L, Rizzo A, Porfiri M. A multi-agent model to study epidemic spreading and vaccination strategies in an urban-like environment. Appl Netw Sci. 2020;5(1):68. doi:10.1007/s41109-020-00299-7","Nadini M, Zino L, Rizzo A, Porfiri M.",Multi-agent; Model; Epidemic,Improve our understanding of epidemic spreading within urban environments,Understanding Epidemic Spread,,,Theoretical,General,Generic respiratory viruses,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
364,37134085,PLoS One,2023,A hospital demand and capacity intervention approach for COVID-19,10.1371/journal.pone.0283350,"Van Yperen J, Campillo-Funollet E, Inkpen R, Memon A, Madzvamuse A. A hospital demand and capacity intervention approach for COVID-19. Ndeffo-Mbah ML, ed. PLoS ONE. 2023;18(5):e0283350. doi:10.1371/journal.pone.0283350","Van Yperen J, Campillo-Funollet E, Inkpen R, Memon A, Madzvamuse A.",Epidemics; Infections,"In this paper, we demonstrate an approach to the mathematical modelling of interventions based on demand and capacity of hospitals",Theoretical Advancements,UK,,UK,Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,1.00E+07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
365,35729993,Jpn J Stat Data Sci,2022,Determination of optimal prevention strategy for COVID-19 based on multi-agent simulation,10.1007/s42081-022-00163-1,"Fujita S, Kiguchi R, Yoshida Y, Kitanishi Y. Determination of optimal prevention strategy for COVID-19 based on multi-agent simulation. Jpn J Stat Data Sci. 2022;5(1):339-361. doi:10.1007/s42081-022-00163-1","Fujita S, Kiguchi R, Yoshida Y, Kitanishi Y.",Multi-agent; Simulation; Disease; Pandemic; Modeling,To capture the effects of various measures such as vaccinations on the spread of infections in a more realistic setting,Intervention Impact Assessment,Japan,,Japan,General,SARS-CoV-2,Other/Unknown,1000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
366,35696558,Proc Natl Acad Sci U S A,2022,Quantifying the importance and location of SARS-CoV-2 transmission events in large metropolitan areas,10.1073/pnas.2112182119,"Aleta A, Martín-Corral D, Bakker MA, et al. Quantifying the importance and location of SARS-CoV-2 transmission events in large metropolitan areas. Proc Natl Acad Sci USA. 2022;119(26):e2112182119. doi:10.1073/pnas.2112182119","Aleta A, Martín-Corral D, Bakker MA, Pastore Y Piontti A, Ajelli M, Litvinova M, Chinazzi M, Dean NE, Halloran ME, Longini IM Jr, Pentland A, Vespignani A, Moreno Y, Moro E.",Transmission,Design interventions for COVID-19 transmission,Understanding Epidemic Spread,"NY, Seattle (US)","New York, Washington",US,General,SARS-CoV-2,Other/Unknown,5.00E+05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
367,36997602,Sci Rep,2023,An evaluation framework for operational interventions on urban mass public transport during a pandemic,10.1038/s41598-023-31892-2,"Singh R, Hörcher D, Graham DJ. An evaluation framework for operational interventions on urban mass public transport during a pandemic. Sci Rep. 2023;13(1):5163. doi:10.1038/s41598-023-31892-2","Singh R, Hörcher D, Graham DJ.",Pandemic; Agent-based; Simulation,To increase safe mobility and economic interactions on urban transit networks while reducing the potential for Covid-19 contagion in a dynamic setting,Understanding Epidemic Spread,London (UK),,UK,Transportation,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
368,34915300,Epidemics,2022,Existing human mobility data sources poorly predicted the spatial spread of SARS-CoV-2 in Madagascar,10.1016/j.epidem.2021.100534,"Ramiadantsoa T, Metcalf CJE, Raherinandrasana AH, et al. Existing human mobility data sources poorly predicted the spatial spread of SARS-CoV-2 in Madagascar. Epidemics. 2022;38:100534. doi:10.1016/j.epidem.2021.100534","Ramiadantsoa T, Metcalf CJE, Raherinandrasana AH, Randrianarisoa S, Rice BL, Wesolowski A, Randriatsarafara FM, Rasambainarivo F.",Epidemics; Pandemic; Models; Disease; Transmission,Use leverage case data collected as part of a COVID-19 dashboard collated via daily reports to predict the spread,Theoretical Advancements,Madagascar,,Madagascar,General,SARS-CoV-2,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
369,34552139,Sci Rep,2021,The impact of prioritisation and dosing intervals on the effects of COVID-19 vaccination in Europe: an agent-based cohort model,10.1038/s41598-021-98216-0,"Català M, Li X, Prats C, Prieto-Alhambra D. The impact of prioritisation and dosing intervals on the effects of COVID-19 vaccination in Europe: an agent-based cohort model. Sci Rep. 2021;11(1):18812. doi:10.1038/s41598-021-98216-0","Català M, Li X, Prats C, Prieto-Alhambra D.",Agent-based; Model; Infections,"To model the impact of different prioritisation choices and dose intervals on infections, hospitalisations, mortality, and public health restrictions",Intervention Impact Assessment,"Austria, Belgium, Bulgaria, Catalonia, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, UK",,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, UK",Hospital or Healthcare Facility,SARS-CoV-2,MATLAB,1.00E+05,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
370,34438256,Epidemics,2021,Dynamic network strategies for SARS-CoV-2 control on a cruise ship,10.1016/j.epidem.2021.100488,"Jenness SM, Willebrand KS, Malik AA, Lopman BA, Omer SB. Dynamic network strategies for SARS-CoV-2 control on a cruise ship. Epidemics. 2021;37:100488. doi:10.1016/j.epidem.2021.100488","Jenness SM, Willebrand KS, Malik AA, Lopman BA, Omer SB.",Network-based; Transmission; Model,To characterize transmission dynamics and to estimate the epidemiological impact of outbreak control and prevention measures on a cruise ship,"Understanding Epidemic Spread, Intervention Impact Assessment","Diamond Princess cruise (Yokohama, Japan)",,Japan,Transportation,SARS-CoV-2,R,3711,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
371,38126417,Cad Saude Publica,2023,"Local protection bubbles: an interpretation of the slowdown in the spread of coronavirus in the city of São Paulo, Brazil, in July 2020",10.1590/0102-311XEN109522,"Pinto JPG, Magalhães PC, Figueiredo GM, Alves D, Angel DMS. Local protection bubbles: an interpretation of the slowdown in the spread of coronavirus in the city of São Paulo, Brazil, in July 2020. Cad Saúde Pública. 2023;39(11):e00109522. doi:10.1590/0102-311xen109522","Pinto JPG, Magalhães PC, Figueiredo GM, Alves D, Angel DMS.",Pandemic; Multi-agent; Simulation; Model,To understand the pandemic dynamics in the city of São Paulo,Understanding Epidemic Spread,SÃ£o Paulo (Brazil),,Brazil,General,SARS-CoV-2,Other/Unknown,369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
372,37583147,Phys Rev E,2023,Role of masks in mitigating viral spread on networks,10.1103/PhysRevE.108.014306,"Tian Y, Sridhar A, Wu CW, et al. Role of masks in mitigating viral spread on networks. Phys Rev E. 2023;108(1):014306. doi:10.1103/PhysRevE.108.014306","Tian Y, Sridhar A, Wu CW, Levin SA, Carley KM, Poor HV, Yağan O.",Agent-based; Model,To provide a comprehensive quantitative analysis of the impact of mask-wearing,"Understanding Epidemic Spread, Intervention Impact Assessment",,,Theoretical,General,SARS-CoV-2,Other/Unknown,1.00E+06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
373,33630842,PLoS One,2021,Modelling suggests limited change in the reproduction number from reopening Norwegian kindergartens and schools during the COVID-19 pandemic,10.1371/journal.pone.0238268,"Rypdal M, Rypdal V, Jakobsen PK, et al. Modelling suggests limited change in the reproduction number from reopening Norwegian kindergartens and schools during the COVID-19 pandemic. Lau EH, ed. PLoS ONE. 2021;16(2):e0238268. doi:10.1371/journal.pone.0238268","Rypdal M, Rypdal V, Jakobsen PK, Ytterstad E, Løvsletten O, Klingenberg C, Rypdal K.",Modelling; Pandemic; Transmission; Individual-based,This study aimed to model the effect of opening kindergartens and the schools in Norway in terms of a change in the reproduction number (R),Understanding Epidemic Spread,Oslo and TromsÃ¸ (Norway),,Norway,University/School,SARS-CoV-2,Other/Unknown,Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
374,38126066,R Soc Open Sci,2023,A mixed-method approach to determining contact matrices in the Cox's Bazar refugee settlement,10.1098/rsos.231066,"Walker J, Aylett-Bullock J, Shi D, et al. A mixed-method approach to determining contact matrices in the Cox’s Bazar refugee settlement. R Soc open sci. 2023;10(12):231066. doi:10.1098/rsos.231066","Walker J, Aylett-Bullock J, Shi D, Kahindo Maina AG, Samir Evers E, Harlass S, Krauss F.",Epidemic; Models; Simulated; Disease,"We present a novel, mixed-method approach for deriving contact matrices in populations",Theoretical Advancements,Bangladesh,,Bangladesh,Vulnerable/Underserved,Generic respiratory viruses,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
375,37204795,JAMA Netw Open,2023,Estimated US Pediatric Hospitalizations and School Absenteeism Associated With Accelerated COVID-19 Bivalent Booster Vaccination,10.1001/jamanetworkopen.2023.13586,"Fitzpatrick MC, Moghadas SM, Vilches TN, Shah A, Pandey A, Galvani AP. Estimated US Pediatric Hospitalizations and School Absenteeism Associated With Accelerated COVID-19 Bivalent Booster Vaccination. JAMA Netw Open. 2023;6(5):e2313586. doi:10.1001/jamanetworkopen.2023.13586","Fitzpatrick MC, Moghadas SM, Vilches TN, Shah A, Pandey A, Galvani AP.",Model; Simulation; Transmission,To assess whether accelerating COVID-19 bivalent booster vaccination uptake across the general population would be associated with reduced pediatric hospitalizations and school absenteeism.,Intervention Impact Assessment,,,Theoretical,General,SARS-CoV-2,Julia,5135,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
376,35125108,BMC Med,2022,Estimating the effect of non-pharmaceutical interventions to mitigate COVID-19 spread in Saudi Arabia,10.1186/s12916-022-02232-4,"Bisanzio D, Reithinger R, Alqunaibet A, et al. Estimating the effect of non-pharmaceutical interventions to mitigate COVID-19 spread in Saudi Arabia. BMC Med. 2022;20(1):51. doi:10.1186/s12916-022-02232-4","Bisanzio D, Reithinger R, Alqunaibet A, Almudarra S, Alsukait RF, Dong D, Zhang Y, El-Saharty S, Herbst CH.",Individual-based; Model; Epidemiological,The aim of our study was to evaluate the effect of NPIs on the spread of the COVID-19 and test strategies to open schools and resume international travel.,Intervention Impact Assessment,Kingdom of Saudi Arabia,,Saudi Arabia,General,SARS-CoV-2,Other/Unknown,3.40E+07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
377,36192471,Sci Rep,2022,An agent-based model of social care provision during the early stages of Covid-19,10.1038/s41598-022-20846-9,"Gostoli U, Silverman E. An agent-based model of social care provision during the early stages of Covid-19. Sci Rep. 2022;12(1):16534. doi:10.1038/s41598-022-20846-9","Gostoli U, Silverman E.",Agent-based; Model; Pandemic,To present an agent-based computational model to investigate social care provision in the context of a pandemic,Other,UK,,UK,General,SARS-CoV-2,Other/Unknown,678,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
378,36709540,Epidemics,2023,A statistical framework for tracking the time-varying superspreading potential of COVID-19 epidemic,10.1016/j.epidem.2023.100670,"Guo Z, Zhao S, Lee SS, et al. A statistical framework for tracking the time-varying superspreading potential of COVID-19 epidemic. Epidemics. 2023;42:100670. doi:10.1016/j.epidem.2023.100670","Guo Z, Zhao S, Lee SS, Hung CT, Wong NS, Chow TY, Yam CHK, Wang MH, Wang J, Chong KC, Yeoh EK.",Epidemic; Disease; Transmissibility; Model,"In this study, we developed an estimation framework to track the time-varying risk of superspreading events",Understanding Epidemic Spread,Hong Kong (China),,China,General,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
379,36952500,PLoS One,2023,Fitting and validation of an agent-based model for COVID-19 case forecasting in workplaces and universities,10.1371/journal.pone.0283517,"Kumaresan V, Balachandar N, Poole SF, et al. Fitting and validation of an agent-based model for COVID-19 case forecasting in workplaces and universities. Alamoodi AHA, ed. PLoS ONE. 2023;18(3):e0283517. doi:10.1371/journal.pone.0283517","Kumaresan V, Balachandar N, Poole SF, Myers LJ, Varghese P, Washington V, Jia Y, Lee VS.",Agent-based; Model,Fitting and validation of an ABM for the forecasting of COVID-19 in workplaces and universities with real-world data,Forecasting,,,Theoretical,"University/School, Workplace",SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
380,33431153,Value Health,2021,What We Know Now: An Economic Evaluation of Chickenpox Vaccination and Dose Timing Using an Agent-Based Model,10.1016/j.jval.2020.10.004,"Rafferty ERS, McDonald W, Osgood ND, Doroshenko A, Farag M. What We Know Now: An Economic Evaluation of Chickenpox Vaccination and Dose Timing Using an Agent-Based Model. Value in Health. 2021;24(1):50-60. doi:10.1016/j.jval.2020.10.004","Rafferty ERS, McDonald W, Osgood ND, Doroshenko A, Farag M.",Agent-based; Model,"We conducted an economic evaluation of chickenpox vaccination in Alberta, Canada",Other,Alberta (Canada),,Canada,University/School,Vaccine preventable respiratory viruses,Other/Unknown,5.00E+05,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
381,37033070,Front Public Health,2023,Digital cities and the spread of COVID-19: Characterizing the impact of non-pharmaceutical interventions in five cities in Spain,10.3389/fpubh.2023.1122230,"Rodríguez JP, Aleta A, Moreno Y. Digital cities and the spread of COVID-19: Characterizing the impact of non-pharmaceutical interventions in five cities in Spain. Front Public Health. 2023;11:1122230. doi:10.3389/fpubh.2023.1122230","Rodríguez JP, Aleta A, Moreno Y.",Modeling; Agent-based,"To develop a high-resolution, data-driven agent-based model of the spread of COVID-19","Intervention Impact Assessment, Understanding Epidemic Spread",Spain,,Spain,General,SARS-CoV-2,Python,4.70E+06,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
382,35590242,BMC Bioinformatics,2022,Model verification tools: a computational framework for verification assessment of mechanistic agent-based models,10.1186/s12859-022-04684-0,"Russo G, Parasiliti Palumbo GA, Pennisi M, Pappalardo F. Model verification tools: a computational framework for verification assessment of mechanistic agent-based models. BMC Bioinformatics. 2022;22(S14):626. doi:10.1186/s12859-022-04684-0","Russo G, Parasiliti Palumbo GA, Pennisi M, Pappalardo F.",Model; Agent-based,We propose a set of automatic tools for the mechanistic Agent-Based Model verification assessment,Theoretical Advancements,,,Theoretical,Theoretical,SARS-CoV-2,Python,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
383,36697434,Sci Rep,2023,Frequent and unpredictable changes in COVID-19 policies and restrictions reduce the accuracy of model forecasts,10.1038/s41598-023-27711-3,"Houdroge F, Palmer A, Delport D, et al. Frequent and unpredictable changes in COVID-19 policies and restrictions reduce the accuracy of model forecasts. Sci Rep. 2023;13(1):1398. doi:10.1038/s41598-023-27711-3","Houdroge F, Palmer A, Delport D, Walsh T, Kelly SL, Hainsworth SW, Abeysuriya R, Stuart RM, Kerr CC, Coplan P, Wilson DP, Scott N.",Model; Agent-based; Infection,To propose why the majority of model projections were inaccurate compared with actual outcomes,Theoretical Advancements,"Belgium, Brazil, Italy, Mexico, Netherlands, Spain, US",,"Belgium, Brazil, Italy, Mexico, Netherlands, Spain, US",General,SARS-CoV-2,Other/Unknown,1.00E+05,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
384,35231066,PLoS One,2022,Enhancing the prediction of hospitalization from a COVID-19 agent-based model: A Bayesian method for model parameter estimation,10.1371/journal.pone.0264704,"Hadley E, Rhea S, Jones K, Li L, Stoner M, Bobashev G. Enhancing the prediction of hospitalization from a COVID-19 agent-based model: A Bayesian method for model parameter estimation. De Sire A, ed. PLoS ONE. 2022;17(3):e0264704. doi:10.1371/journal.pone.0264704","Hadley E, Rhea S, Jones K, Li L, Stoner M, Bobashev G.",Agent-based; Model; Pandemic,We introduce an application of Bayes' theorem with inputs from aggregated data to better incorporate factors in an ABM,Theoretical Advancements,North Carolina (US),North Carolina,US,General,SARS-CoV-2,Python,Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
385,33907736,SN Comput Sci,2021,Computational Model on COVID-19 Pandemic Using Probabilistic Cellular Automata,10.1007/s42979-021-00619-3,"Ghosh S, Bhattacharya S. Computational Model on COVID-19 Pandemic Using Probabilistic Cellular Automata. SN COMPUT SCI. 2021;2(3):230. doi:10.1007/s42979-021-00619-3","Ghosh S, Bhattacharya S.",Model; Pandemic; Cellular automata; Disease,We propose a probabilistic cellular automata (PCA) based epidemiological model to understand effects of interventions,Intervention Impact Assessment,,,Theoretical,General,SARS-CoV-2,Other/Unknown,1.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
386,35642427,J R Soc Interface,2022,Dynamic survival analysis for non-Markovian epidemic models,10.1098/rsif.2022.0124,"Di Lauro F, KhudaBukhsh WR, Kiss IZ, Kenah E, Jensen M, Rempała GA. Dynamic survival analysis for non-Markovian epidemic models. J R Soc Interface. 2022;19(191):20220124. doi:10.1098/rsif.2022.0124","Di Lauro F, KhudaBukhsh WR, Kiss IZ, Kenah E, Jensen M, Rempała GA.",Epidemic; Models; Agent-based; Infection,We present a new method for analysing stochastic epidemic models under minimal assumptions,Theoretical Advancements,India,,India,General,SARS-CoV-2,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
387,36376551,Sci Rep,2022,A general framework for optimising cost-effectiveness of pandemic response under partial intervention measures,10.1038/s41598-022-23668-x,"Nguyen QD, Prokopenko M. A general framework for optimising cost-effectiveness of pandemic response under partial intervention measures. Sci Rep. 2022;12(1):19482. doi:10.1038/s41598-022-23668-x","Nguyen QD, Prokopenko M.",Pandemic; Agent-based,"We describe a general framework aimed to derive adaptive cost-effective interventions, adequate for both recent and emerging pandemic threats",Other,Australia,,Australia,General,SARS-CoV-2,Other/Unknown,7488253,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
388,34786284,IEEE Access,2020,Evaluation of Boarding Methods Adapted for Social Distancing When Using Apron Buses,10.1109/ACCESS.2020.3015736,"Milne RJ, Delcea C, Cotfas LA, Ioanas C. Evaluation of Boarding Methods Adapted for Social Distancing When Using Apron Buses. IEEE Access. 2020;8:151650-151667. doi:10.1109/ACCESS.2020.3015736","Milne RJ, Delcea C, Cotfas LA, Ioanas C.",Infected; Pandemic,This article adapts classical boarding methods so that they may be used with social distancing and apron buses,Behavioral Influence on Spread,,,Theoretical,Transportation,SARS-CoV-2,NetLogo,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
389,38624756,Theor Biol Med Model,2021,"The impact of natural disasters on the spread of COVID-19: a geospatial, agent-based epidemiology model",10.1186/s12976-021-00151-0,"De Vries MVW, Rambabu L. The impact of natural disasters on the spread of COVID-19: a geospatial, agent-based epidemiology model. Theor Biol Med Model. 2021;18(1):20. doi:10.1186/s12976-021-00151-0","de Vries MVW, Rambabu L.",Agent-based; Epidemiology; Model; Pandemic; Disease,"We then evaluate the potential effect of an eruption of Vesuvius volcano on the spread of COVID-19 in Campania, Italy",Understanding Epidemic Spread,Campania (Italy),,Italy,General,SARS-CoV-2,Other/Unknown,1.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
390,32863609,Chaos Solitons Fractals,2020,Not all interventions are equal for the height of the second peak,10.1016/j.chaos.2020.109965,"Jorritsma J, Hulshof T, Komjáthy J. Not all interventions are equal for the height of the second peak. Chaos, Solitons & Fractals. 2020;139:109965. doi:10.1016/j.chaos.2020.109965","Jorritsma J, Hulshof T, Komjáthy J.",Simulation; Epidemic; Model,In this paper we study the spread of an epidemic with temporary immunity on finite spatial and non-spatial network models,Understanding Epidemic Spread,,,Theoretical,General,SARS-CoV-2,Other/Unknown,160000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
391,32511469,medRxiv,2020,Lockdown exit strategies and risk of a second epidemic peak: a stochastic agent-based model of SARS-CoV-2 epidemic in France,10.1101/2020.04.30.20086264,"Hoertel N, Blachier M, Blanco C, et al. Lockdown exit strategies and risk of a second epidemic peak: a stochastic agent-based model of SARS-CoV-2 epidemic in France. Public and Global Health. Preprint posted online May 5, 2020. doi:10.1101/2020.04.30.20086264","Hoertel N, Blachier M, Blanco C, Olfson M, Massetti M, Rico MS, Limosin F, Leleu H.","epidemic, agent-based model, epidemiological modelling",present results of epidemiological modelling that has helped inform policy making in France,Understanding Epidemic Spread,France,,France,General,SARS-CoV-2,C Family,5.00E+05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
392,32834575,Chaos Solitons Fractals,2020,A hybrid multi-scale model of COVID-19 transmission dynamics to assess the potential of non-pharmaceutical interventions,10.1016/j.chaos.2020.109941,"Bouchnita A, Jebrane A. A hybrid multi-scale model of COVID-19 transmission dynamics to assess the potential of non-pharmaceutical interventions. Chaos, Solitons & Fractals. 2020;138:109941. doi:10.1016/j.chaos.2020.109941","Bouchnita A, Jebrane A.","model, transmission, simulates, pandemic",to understand the effect of NPIs on the transmission dynamics of the disease.,Intervention Impact Assessment,"Calabria (Italy), China",,"Italy, China",General,SARS-CoV-2,C Family,250,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
393,36901023,Int J Environ Res Public Health,2023,Economic Analysis of Border Control Policies during COVID-19 Pandemic: A Modelling Study to Inform Cross-Border Travel Policy between Singapore and Thailand,10.3390/ijerph20054011,"Cai CGX, Lim NWH, Huynh VA, et al. Economic Analysis of Border Control Policies during COVID-19 Pandemic: A Modelling Study to Inform Cross-Border Travel Policy between Singapore and Thailand. IJERPH. 2023;20(5):4011. doi:10.3390/ijerph20054011","Cai CGX, Lim NW, Huynh VA, Ananthakrishnan A, Dabak SV, Dickens BSL, Faradiba D, Kc S, Morton A, Park M, Rachatan C, Sittimart M, Wee HL, Lou J, Teerawattananon Y.","pandemic, model, transmission, micro-simulation, modelling",to optimize COVID-19 testing and quarantine policies between TH and SG with a focus on economic recovery.,Other,"Thailand, Singapore",,"Thailand, Singapore",Workplace,SARS-CoV-2,Other/Unknown,112217,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
394,33225113,Infect Dis Model,2020,Law of mass action and saturation in SIR model with application to Coronavirus modelling,10.1016/j.idm.2020.11.002,"Kolokolnikov T, Iron D. Law of mass action and saturation in SIR model with application to Coronavirus modelling. Infectious Disease Modelling. 2020;6:91-97. doi:10.1016/j.idm.2020.11.002","Kolokolnikov T, Iron D.","model, modelling, models, infection, infected, agent-based model","to show that using SIR model with saturation is sufficient to capture the disease dynamics for many jurstictions, including the overall world-wide disease curve progression",Understanding Epidemic Spread,"US, Russia, Canada, World",,"US, Russia, Canada",General,SARS-CoV-2,MATLAB,7.82E+09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
395,33824850,Z Gesundh Wiss,2023,Agent-based simulation of pedestrian dynamics for exposure time estimation in epidemic risk assessment,10.1007/s10389-021-01489-y,"Harweg T, Bachmann D, Weichert F. Agent-based simulation of pedestrian dynamics for exposure time estimation in epidemic risk assessment. J Public Health (Berl). 2023;31(2):221-228. doi:10.1007/s10389-021-01489-y","Harweg T, Bachmann D, Weichert F.","agent-based simulation, epidemic, disease, pandemic","assess the behavior of pedestrians in public places in the context of contact transmission of infectious diseases like COVID-19, and to gather insights about exposure times and the overall effectiveness of distancing measures.",Behavioral Influence on Spread,Germany,,Germany,Workplace,SARS-CoV-2,Other/Unknown,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
